label_value,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,International,Unemployment rate,Inflation rate,GDP,Age Code,Nationality
0,1,1,1,9085,1,38,37,5,5,137.1,1,0,0,1,0,1,0,10.8,1.4,1.74,1,1
1,2,7,1,8014,0,35,35,90,90,140.0,0,0,0,0,0,0,0,10.8,1.4,1.74,0,1
0,1,1,1,9773,1,19,37,9,9,131.6,1,1,0,1,0,0,0,10.8,1.4,1.74,1,1
1,1,17,1,9003,1,1,4,9,5,144.1,1,0,1,0,1,0,0,16.2,0.3,-0.92,1,1
0,1,18,1,9853,1,19,38,4,0,113.5,1,0,0,1,0,0,0,12.4,0.5,1.79,1,1
0,1,44,1,9003,1,19,1,9,8,150.0,1,0,0,1,1,0,0,13.9,-0.3,0.79,1,1
1,1,39,2,9556,1,19,19,4,5,100.0,0,0,0,1,1,1,0,15.5,2.8,-4.06,1,1
1,1,39,1,9003,1,1,19,4,10,114.0,0,0,0,1,1,0,0,15.5,2.8,-4.06,1,1
1,1,7,1,9085,1,19,19,9,5,150.0,0,0,1,0,0,0,0,8.9,1.4,3.51,1,1
1,1,43,1,9773,1,34,34,90,90,130.0,0,0,1,1,0,0,1,7.6,2.6,0.32,1,22
1,2,39,1,9500,1,19,19,9,7,110.5,0,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
1,1,43,1,9003,1,37,37,9,6,119.0,0,0,1,1,1,0,0,15.5,2.8,-4.06,1,1
1,1,44,1,9085,1,1,1,4,7,140.0,1,0,1,1,0,0,0,13.9,-0.3,0.79,1,1
0,1,39,1,8014,0,37,37,7,8,120.0,0,0,0,1,0,1,0,15.5,2.8,-4.06,1,1
0,1,1,1,9773,1,1,38,9,9,116.7,0,0,0,1,0,1,0,12.4,0.5,1.79,1,1
0,1,1,1,171,1,3,1,4,4,142.8,1,0,0,1,0,0,0,12.4,0.5,1.79,1,1
0,1,18,1,9500,1,3,3,3,3,130.8,0,0,0,1,0,0,0,16.2,0.3,-0.92,1,1
0,1,1,1,9130,1,38,38,5,8,120.4,1,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
0,1,17,1,9147,1,37,38,9,9,128.0,1,0,1,1,0,1,0,11.1,0.6,2.02,1,1
0,1,43,1,9070,1,19,38,9,7,135.9,0,0,0,1,1,0,0,15.5,2.8,-4.06,1,1
0,1,1,2,9670,1,37,38,9,9,126.9,0,0,0,1,0,1,0,9.4,-0.8,-3.12,1,1
0,1,39,1,8014,0,37,37,5,7,147.5,0,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
0,1,1,2,9085,1,37,38,9,7,137.0,0,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
0,1,1,3,9238,1,1,1,3,3,131.4,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
1,1,1,4,9773,1,41,1,4,3,119.6,1,0,0,1,0,0,0,11.1,0.6,2.02,1,1
1,1,17,3,9853,1,37,37,5,9,125.1,1,1,0,1,0,1,0,12.7,3.7,-1.7,1,1
0,1,39,1,9500,1,37,37,9,9,130.0,0,0,0,1,1,0,0,12.7,3.7,-1.7,1,1
1,5,39,1,9003,1,19,1,9,9,119.4,0,0,1,0,0,0,0,8.9,1.4,3.51,1,1
0,1,44,1,9238,1,1,38,4,9,145.9,0,0,0,1,0,1,0,13.9,-0.3,0.79,1,1
0,1,7,1,9991,0,37,37,6,6,140.0,0,0,0,1,0,0,0,12.4,0.5,1.79,1,1
1,1,1,6,9500,1,19,38,4,9,128.5,1,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
0,1,1,1,9070,1,37,19,9,8,125.5,1,0,0,1,0,1,1,11.1,0.6,2.02,1,41
0,1,1,5,9085,1,3,19,2,3,113.9,1,0,0,1,0,0,0,16.2,0.3,-0.92,1,1
1,1,39,1,8014,0,1,1,4,4,107.5,0,0,1,0,1,0,0,8.9,1.4,3.51,1,1
1,1,18,1,9773,1,1,1,3,3,129.8,0,0,0,1,0,1,0,12.7,3.7,-1.7,1,1
1,2,39,1,9085,1,19,19,9,5,101.0,1,0,0,1,0,0,0,15.5,2.8,-4.06,1,1
0,1,17,4,9500,1,4,1,2,3,140.0,1,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
1,1,1,1,9147,1,1,19,5,5,130.1,1,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
1,2,39,1,9085,1,37,37,90,10,112.0,0,0,0,1,1,0,0,10.8,1.4,1.74,1,1
0,1,17,2,9500,1,19,37,4,7,133.5,1,0,0,1,0,0,0,13.9,-0.3,0.79,1,1
0,1,17,1,9238,1,19,38,4,9,146.7,1,0,0,1,0,1,0,15.5,2.8,-4.06,1,1
0,1,1,1,9500,1,1,37,9,9,129.3,0,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
0,1,17,4,9500,1,38,37,5,7,126.4,1,0,0,1,1,1,0,11.1,0.6,2.02,1,1
1,2,43,1,9991,0,37,37,9,9,110.0,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
0,1,1,1,9070,1,1,1,1,1,110.8,1,0,0,1,0,0,0,12.4,0.5,1.79,1,1
0,1,1,1,9147,1,19,37,9,7,130.0,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
0,1,1,1,9085,1,1,3,9,1,123.0,1,0,0,1,0,0,0,15.5,2.8,-4.06,1,1
0,1,42,1,9254,1,38,37,1,1,154.0,1,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
1,1,1,1,9130,1,19,37,1,9,116.1,1,0,0,1,1,0,0,12.7,3.7,-1.7,1,1
1,1,39,1,171,1,1,19,2,7,110.0,0,0,0,1,1,1,1,15.5,2.8,-4.06,1,101
0,5,17,5,9500,1,37,38,5,8,133.5,1,0,0,1,0,1,0,12.7,3.7,-1.7,1,1
0,1,1,1,9238,1,37,19,9,4,127.3,1,0,0,1,0,1,0,16.2,0.3,-0.92,1,1
0,1,43,1,9147,1,37,37,9,9,106.2,0,0,0,1,0,0,0,12.7,3.7,-1.7,0,1
1,1,44,1,9119,1,19,3,3,4,130.0,0,0,1,0,1,0,0,15.5,2.8,-4.06,1,1
1,1,17,1,9991,0,38,3,9,3,116.9,1,0,1,0,0,0,0,10.8,1.4,1.74,1,1
1,1,17,1,9670,1,34,3,7,2,130.6,1,0,1,0,1,0,0,7.6,2.6,0.32,1,1
0,1,17,1,9773,1,19,37,7,7,126.0,0,0,0,1,0,1,0,15.5,2.8,-4.06,1,1
1,1,1,6,9853,1,19,19,9,9,110.2,1,0,0,1,1,0,0,10.8,1.4,1.74,1,1
0,1,44,1,9003,1,3,3,2,10,160.0,1,0,0,1,1,0,0,12.4,0.5,1.79,1,1
1,1,1,1,9500,1,1,19,3,5,115.0,0,0,0,0,1,0,0,16.2,0.3,-0.92,1,1
1,1,39,1,9254,1,34,34,0,0,110.0,1,0,0,0,0,0,0,7.6,2.6,0.32,1,1
1,1,43,1,9238,1,19,19,4,8,117.0,1,0,0,1,0,0,0,16.2,0.3,-0.92,1,1
1,1,39,1,9991,0,34,34,0,0,120.5,1,0,0,1,1,0,0,7.6,2.6,0.32,1,1
0,1,1,4,9670,1,4,19,2,5,118.0,1,0,0,1,0,0,0,16.2,0.3,-0.92,1,1
0,1,18,1,9556,1,3,19,2,8,106.0,1,0,0,1,1,0,0,8.9,1.4,3.51,1,1
1,1,7,1,33,1,38,37,5,6,120.0,1,0,1,0,1,0,0,11.1,0.6,2.02,1,1
1,1,39,1,9500,1,3,38,3,7,127.0,1,0,0,1,1,0,0,11.1,0.6,2.02,1,1
1,2,39,1,8014,0,34,34,0,0,135.0,0,0,0,1,0,0,0,7.6,2.6,0.32,0,1
0,1,44,1,9003,1,1,37,6,6,130.0,1,0,0,1,1,0,0,16.2,0.3,-0.92,1,1
0,1,17,5,9773,1,38,38,191,175,110.2,1,0,1,1,0,0,0,8.9,1.4,3.51,1,1
0,1,1,2,9147,1,1,19,4,4,105.9,1,0,0,1,1,0,0,11.1,0.6,2.02,1,1
1,1,44,1,9085,1,19,37,5,7,140.0,1,0,0,1,1,0,0,12.4,0.5,1.79,1,1
0,1,17,5,9773,1,1,19,9,5,121.8,1,0,0,1,1,0,0,16.2,0.3,-0.92,1,1
0,1,1,3,171,1,37,37,9,9,124.3,1,0,0,1,1,0,0,7.6,2.6,0.32,1,1
0,2,39,1,9991,0,37,37,9,9,168.0,0,0,0,1,1,0,0,11.1,0.6,2.02,1,1
0,1,43,1,9991,0,37,37,9,9,120.0,0,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
1,1,1,1,9500,1,1,1,5,5,161.0,1,0,0,1,1,0,0,16.2,0.3,-0.92,1,1
0,1,1,2,9238,1,19,19,191,171,119.3,1,0,1,1,0,0,0,8.9,1.4,3.51,1,1
0,1,17,2,9500,1,19,37,4,7,126.3,1,0,0,1,0,1,0,11.1,0.6,2.02,1,1
0,2,39,1,8014,0,37,37,9,6,110.0,1,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
0,1,1,2,9500,1,38,37,9,7,125.0,1,0,0,1,0,1,0,7.6,2.6,0.32,1,1
0,1,1,1,9773,1,19,1,7,9,117.9,1,0,0,1,0,0,0,11.1,0.6,2.02,1,1
0,1,17,1,9500,1,37,37,9,8,124.3,1,0,0,1,0,1,0,15.5,2.8,-4.06,1,1
0,1,17,2,9500,1,19,1,5,4,127.3,1,0,0,1,0,0,0,15.5,2.8,-4.06,1,1
0,1,1,3,9773,1,38,38,9,5,133.1,0,0,0,1,0,1,0,10.8,1.4,1.74,1,1
1,1,1,5,9670,1,19,38,9,9,119.5,1,0,0,0,0,0,0,8.9,1.4,3.51,1,1
0,1,5,1,9130,1,5,43,2,2,149.7,1,0,0,1,0,0,0,8.9,1.4,3.51,1,1
0,1,1,2,9500,1,19,19,9,9,140.0,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
1,1,17,1,9119,1,19,19,7,9,121.3,1,0,0,1,1,0,0,7.6,2.6,0.32,1,1
1,1,39,1,9254,1,19,19,3,1,101.5,0,0,1,0,1,0,0,15.5,2.8,-4.06,1,1
1,1,39,1,9500,1,37,37,9,8,108.5,0,0,0,1,1,0,0,13.9,-0.3,0.79,1,1
1,1,39,1,9003,1,3,1,2,8,100.0,1,0,0,1,1,0,0,13.9,-0.3,0.79,1,1
1,1,39,1,9991,0,37,37,9,6,105.3,0,0,1,1,0,0,0,12.4,0.5,1.79,1,1
1,1,43,1,9119,1,37,38,9,9,120.0,0,0,1,0,0,0,0,7.6,2.6,0.32,1,1
1,1,1,1,9238,1,34,38,0,7,120.2,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
0,2,39,1,9556,1,37,38,9,9,123.0,0,0,0,1,0,0,0,12.4,0.5,1.79,1,1
0,1,1,1,9085,1,3,1,2,4,124.1,0,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
1,1,17,1,8014,0,34,34,0,0,112.4,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
0,1,17,4,9070,1,1,19,4,5,120.4,1,0,0,1,0,0,0,16.2,0.3,-0.92,1,1
0,5,39,1,9254,1,2,2,2,2,103.0,0,0,0,1,0,0,0,10.8,1.4,1.74,0,1
0,1,1,3,9773,1,3,1,2,4,129.8,1,0,0,1,1,0,0,15.5,2.8,-4.06,1,1
0,2,39,1,8014,0,37,37,9,8,120.5,0,0,0,1,0,0,0,10.8,1.4,1.74,0,1
1,1,1,4,171,1,1,19,4,5,138.0,1,0,1,0,1,0,0,15.5,2.8,-4.06,1,1
1,1,1,1,9500,1,1,38,9,9,127.0,0,0,1,0,1,0,0,12.4,0.5,1.79,1,1
1,1,7,2,9500,1,37,38,9,9,138.0,0,0,0,1,1,0,0,16.2,0.3,-0.92,1,1
1,2,43,1,9991,0,38,19,3,3,120.1,0,0,0,0,0,0,0,10.8,1.4,1.74,1,1
1,1,1,6,9773,1,1,37,3,3,100.0,1,0,1,0,0,0,0,12.4,0.5,1.79,1,1
1,1,43,1,9773,1,1,3,9,3,123.8,0,0,0,0,1,0,0,10.8,1.4,1.74,1,1
0,1,17,3,9500,1,3,3,9,7,129.0,1,0,0,1,1,0,0,13.9,-0.3,0.79,1,1
0,1,1,1,9085,1,38,38,9,10,127.0,1,0,0,1,0,0,0,10.8,1.4,1.74,1,1
1,1,16,1,9085,1,3,3,2,1,153.5,1,0,0,1,0,0,0,13.9,-0.3,0.79,1,1
1,1,1,1,9773,1,3,3,2,2,112.3,1,0,1,0,0,0,0,11.1,0.6,2.02,1,1
0,1,1,3,9773,1,19,19,3,3,116.1,0,0,0,1,0,1,0,12.4,0.5,1.79,1,1
0,1,17,1,9147,1,37,37,9,7,119.9,0,0,0,1,0,1,0,13.9,-0.3,0.79,1,1
0,1,17,6,9500,1,19,37,3,9,119.4,1,0,0,1,0,1,0,16.2,0.3,-0.92,1,1
1,1,44,1,9238,1,1,19,4,5,127.4,0,0,1,0,1,0,0,13.9,-0.3,0.79,1,1
1,1,42,1,9003,1,3,2,2,6,105.3,0,0,0,0,1,0,0,16.2,0.3,-0.92,1,1
0,1,1,1,9085,1,1,37,4,10,143.2,0,0,0,1,0,0,0,7.6,2.6,0.32,1,1
1,1,39,1,9991,0,19,37,7,5,155.5,1,0,1,0,1,0,0,10.8,1.4,1.74,1,1
1,1,7,1,9119,1,37,37,9,9,130.0,0,0,0,0,1,0,0,12.7,3.7,-1.7,1,1
0,1,17,1,9254,1,3,1,2,3,129.9,0,0,0,1,0,1,0,9.4,-0.8,-3.12,1,1
1,1,1,4,9070,1,1,1,9,7,134.6,1,0,0,1,0,1,0,12.4,0.5,1.79,1,1
0,1,1,1,9773,1,19,19,4,3,126.2,0,0,0,1,0,0,0,16.2,0.3,-0.92,1,1
0,1,1,1,9085,1,3,4,2,2,130.6,0,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
0,1,17,1,9070,1,37,38,9,8,124.6,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
1,1,39,1,8014,0,34,34,0,0,97.5,1,0,0,1,1,0,0,7.6,2.6,0.32,1,1
0,1,1,1,9500,1,19,38,5,3,112.6,1,0,0,1,0,0,0,16.2,0.3,-0.92,1,1
1,1,39,1,9003,1,37,37,9,7,113.0,1,0,0,0,1,0,0,15.5,2.8,-4.06,1,1
1,2,39,1,9147,1,37,37,9,9,117.9,0,0,0,1,0,0,0,10.8,1.4,1.74,1,1
0,1,44,1,171,1,3,3,2,2,140.0,0,0,1,1,1,0,0,15.5,2.8,-4.06,1,1
0,1,1,1,9147,1,38,38,9,9,115.6,0,0,0,1,1,1,0,13.9,-0.3,0.79,1,1
0,1,17,1,9500,1,38,38,7,10,139.8,1,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
0,2,1,1,9085,1,19,19,192,144,127.1,0,0,0,1,1,1,0,10.8,1.4,1.74,1,1
0,1,1,1,9238,1,19,19,9,5,135.0,1,0,0,1,0,0,0,10.8,1.4,1.74,1,1
0,1,17,2,9254,1,19,19,4,7,123.1,1,0,0,1,0,0,0,11.1,0.6,2.02,1,1
0,2,39,1,8014,0,37,38,3,7,134.5,0,0,0,1,0,0,0,16.2,0.3,-0.92,1,1
1,1,43,5,8014,0,34,34,0,0,110.0,0,0,0,1,1,0,0,7.6,2.6,0.32,1,1
0,1,17,3,9500,1,19,37,7,7,126.7,1,0,0,1,0,1,0,16.2,0.3,-0.92,1,1
0,1,43,4,9500,1,38,37,5,9,118.9,1,0,0,1,0,1,0,7.6,2.6,0.32,1,1
1,2,39,2,9119,1,37,37,7,7,118.0,0,0,0,0,1,0,0,9.4,-0.8,-3.12,1,1
1,1,39,1,9500,1,38,38,9,9,114.8,0,0,0,1,0,0,0,13.9,-0.3,0.79,1,1
1,1,17,3,9238,1,1,19,4,10,112.4,1,0,0,1,0,0,0,16.2,0.3,-0.92,1,1
0,1,17,1,9670,1,19,19,5,5,113.0,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
0,1,1,3,9119,1,4,38,2,7,107.4,1,0,0,1,1,0,0,8.9,1.4,3.51,1,1
0,1,1,1,9085,1,1,1,9,9,127.4,1,0,0,1,0,0,0,15.5,2.8,-4.06,1,1
0,1,1,1,9500,1,1,19,5,5,129.1,1,0,0,1,0,0,0,15.5,2.8,-4.06,1,1
0,1,1,2,9500,1,1,1,4,3,125.1,1,0,0,1,0,0,0,15.5,2.8,-4.06,1,1
1,1,43,1,9147,1,4,19,2,1,128.2,0,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
0,1,15,1,9670,1,37,12,9,9,149.5,1,0,0,0,1,0,0,13.9,-0.3,0.79,1,1
0,1,1,6,9500,1,1,3,3,2,121.3,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
1,1,1,1,9500,1,37,37,9,9,149.5,1,0,0,1,0,1,0,13.9,-0.3,0.79,1,1
1,1,17,6,9500,1,19,37,4,9,131.9,1,0,0,1,0,0,0,13.9,-0.3,0.79,1,1
0,1,17,1,9670,1,19,37,7,4,134.3,0,1,0,1,0,0,0,10.8,1.4,1.74,1,1
0,1,17,2,9500,1,37,37,9,9,132.5,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
0,1,39,1,9670,1,19,1,5,8,97.2,1,0,0,1,1,1,0,11.1,0.6,2.02,1,1
1,1,1,2,9254,1,37,37,9,9,115.1,1,0,0,0,1,0,0,9.4,-0.8,-3.12,1,1
1,1,17,5,9853,1,12,12,4,4,123.3,1,0,0,1,0,0,0,10.8,1.4,1.74,1,1
0,1,1,2,9773,1,19,38,3,9,126.5,1,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
0,1,44,1,9003,1,19,19,5,5,170.0,1,0,0,1,1,0,0,16.2,0.3,-0.92,1,1
0,1,1,1,9670,1,19,19,9,8,125.5,0,0,0,0,0,1,0,8.9,1.4,3.51,1,1
1,1,17,1,9254,1,1,1,4,5,131.0,1,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
0,1,51,1,9070,1,19,19,153,153,120.0,0,0,0,1,0,1,0,11.1,0.6,2.02,1,1
0,1,17,1,9500,1,3,3,2,3,141.8,0,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
1,1,39,2,9147,1,19,38,9,9,120.0,1,0,1,0,1,0,0,9.4,-0.8,-3.12,1,1
0,1,1,1,171,1,3,38,2,10,129.7,1,0,0,1,0,0,0,13.9,-0.3,0.79,1,1
0,1,16,6,9147,1,37,37,9,9,116.5,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
1,1,17,5,9119,1,19,37,9,7,123.3,1,0,0,1,1,1,0,8.9,1.4,3.51,1,1
1,1,17,3,9773,1,34,34,99,99,133.1,1,0,1,1,0,1,0,9.4,-0.8,-3.12,1,1
1,1,39,1,9500,1,19,1,1,90,114.0,1,0,1,0,0,0,0,7.6,2.6,0.32,1,1
0,1,17,6,9147,1,19,1,9,4,122.0,1,0,0,1,1,0,0,9.4,-0.8,-3.12,1,1
1,1,44,1,9991,0,37,37,5,5,130.0,1,0,0,1,1,0,0,9.4,-0.8,-3.12,1,1
1,2,39,2,9147,1,3,37,9,9,103.4,0,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
1,1,17,1,171,1,1,1,5,7,146.3,1,0,0,1,0,1,1,12.7,3.7,-1.7,1,41
0,1,1,1,9773,1,37,19,9,9,131.0,1,0,0,1,0,1,0,15.5,2.8,-4.06,1,1
0,1,1,3,9500,1,38,19,8,8,126.3,1,0,1,1,0,1,0,15.5,2.8,-4.06,1,1
0,1,1,1,9670,1,1,1,5,7,154.7,0,0,0,1,0,1,0,9.4,-0.8,-3.12,1,1
0,1,1,4,9238,1,38,19,7,7,128.4,1,0,0,1,0,1,0,10.8,1.4,1.74,1,1
0,1,1,1,171,1,19,37,9,7,176.0,1,0,0,1,0,1,0,12.4,0.5,1.79,1,1
1,1,17,3,9119,1,3,3,3,4,125.4,1,1,0,1,1,0,0,8.9,1.4,3.51,1,1
0,4,39,1,9500,1,38,37,7,7,101.5,1,0,0,1,0,0,0,10.8,1.4,1.74,1,1
0,1,17,2,9147,1,19,19,7,7,116.1,1,0,0,1,0,1,0,12.4,0.5,1.79,1,1
0,1,1,2,9773,1,1,1,3,3,151.0,1,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
1,1,1,1,9147,1,1,38,4,7,141.5,1,0,0,1,1,0,0,9.4,-0.8,-3.12,1,1
0,1,17,4,9500,1,38,37,3,3,126.3,1,0,0,1,0,0,0,10.8,1.4,1.74,1,1
1,1,39,1,9003,1,37,37,6,6,100.0,0,0,1,0,1,0,0,15.5,2.8,-4.06,1,1
0,1,1,1,9070,1,3,19,4,4,130.3,1,0,0,1,1,1,0,16.2,0.3,-0.92,1,1
0,1,1,2,9085,1,38,1,9,3,118.3,1,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
1,1,7,1,9500,1,19,1,4,1,140.0,1,0,0,0,0,0,0,12.4,0.5,1.79,1,1
0,1,1,4,9254,1,38,36,9,9,124.0,1,0,0,1,0,1,0,9.4,-0.8,-3.12,1,1
1,1,18,1,9085,1,37,37,9,9,138.0,1,0,0,1,0,1,0,8.9,1.4,3.51,1,1
0,1,44,1,9003,1,19,38,3,9,140.0,1,0,0,1,1,0,0,12.4,0.5,1.79,1,1
0,1,44,1,171,1,4,4,2,2,150.0,0,0,0,1,1,0,0,15.5,2.8,-4.06,1,1
0,1,51,1,9500,1,37,38,3,3,137.8,1,0,0,1,0,1,0,11.1,0.6,2.02,1,1
1,1,1,2,9254,1,19,1,9,8,117.2,0,0,0,1,1,0,0,15.5,2.8,-4.06,1,1
0,1,1,1,9773,1,19,38,9,5,143.0,0,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
